,ufId,idProceso,fechaInicio,fechaTermino
176,2715,55,2021-08-01 04:00:00    ,2022-05-18 01:00:00    
177,2715,56,2021-08-01 04:00:00    ,2022-05-18 01:00:00    
178,2734,89,2021-08-01 04:00:00    ,2022-05-18 08:00:00    
179,2734,90,2020-12-21 12:00:00    ,2022-05-18 09:00:00    
180,2738,263,2021-08-01 04:00:00    ,2022-05-18 06:00:00    
181,2738,264,2021-08-01 04:00:00    ,2022-05-19 19:00:00    
182,2818,193,2021-05-14 12:00:00    ,2022-05-16 19:00:00    
183,3658,324,2021-08-01 04:00:00    ,2022-05-20 01:00:00    
184,5454,1206,2021-03-24 19:00:00    ,2021-12-31 09:00:00    
185,5454,1215,2021-01-15 21:00:00    ,2021-12-31 09:00:00    
186,6460,54,2021-06-01 04:00:00    ,2022-05-18 01:00:00    
187,6875,99,2021-09-09 19:00:00    ,2022-05-18 11:00:00    
188,6875,101,2021-09-09 19:00:00    ,2022-05-18 11:00:00    
189,6960,121,2021-09-09 19:00:00    ,2022-05-18 14:00:00    
190,7875,216,2021-08-01 04:00:00    ,2022-05-19 17:00:00    
191,7875,218,2021-08-01 04:00:00    ,2021-10-01 15:00:00    
192,8632,215,2021-08-01 04:00:00    ,2022-05-19 16:00:00    
193,8689,589,2021-09-09 19:00:00    ,2022-05-20 02:00:00    
194,9035,199,2020-12-30 05:00:00    ,2022-05-19 13:00:00    
195,9035,200,2021-09-09 19:00:00    ,2022-05-19 14:00:00    
196,9035,309,2020-12-30 05:00:00    ,2022-05-20 00:00:00    
197,9035,310,2021-09-09 19:00:00    ,2022-05-20 01:00:00    
198,9035,311,2021-09-09 19:00:00    ,2022-05-20 01:00:00    
199,9035,312,2021-09-09 19:00:00    ,2022-05-20 01:00:00    
200,9918,57,2021-08-01 04:00:00    ,2022-05-18 02:00:00    
201,9918,58,2021-08-01 04:00:00    ,2022-05-18 02:00:00    
202,9918,59,2021-08-01 04:00:00    ,2022-05-18 02:00:00    
203,9918,60,2021-08-01 04:00:00    ,2022-05-18 02:00:00    
204,9976,331,2021-06-08 19:00:00    ,2022-05-20 02:00:00    
205,9976,332,2021-06-01 04:00:00    ,2022-05-20 03:00:00    
206,9976,333,2021-06-01 04:00:00    ,2022-05-20 02:00:00    
207,10295,67,2021-08-01 04:00:00    ,2022-05-18 05:00:00    
208,10295,72,2021-08-01 04:00:00    ,2022-05-18 06:00:00    
209,10295,74,2021-08-01 04:00:00    ,2022-05-18 07:00:00    
210,10295,3132,2022-03-01 04:00:00    ,2022-05-20 11:00:00    
211,10296,76,2021-08-01 04:00:00    ,2022-05-18 07:00:00    
212,11508,120,2021-08-01 04:00:00    ,2022-05-18 13:00:00    
213,14221,266,2021-08-01 04:00:00    ,2022-05-19 18:00:00    
214,14222,3052,2022-03-11 21:00:00    ,2022-05-20 11:00:00    
215,14360,3047,2022-02-01 04:00:00    ,2022-05-20 11:00:00    
216,15360,195,2021-08-01 04:00:00    ,2022-05-19 12:00:00    
217,15360,196,2021-08-01 04:00:00    ,2022-05-19 12:00:00    
